primary_title,avg_rating
Holy Hollywood,6.6
Mortal Kombat,6.1
Zamaanat: And Justice for All,3.0
Z,7.0
Jungle Cruise,6.6
Army of the Dead,5.7
A Journal for Jordan,5.8
Celts,7.0
Chinese Speaking Vampires,4.8
Preman,6.4
The Little Things,6.3
Howard's Mill,6.0
Everything I Ever Wanted to Tell My Daughter About Men,6.1
Clean,5.6
The Humans,6.2
Mr Nelson on the North Side,8.7
Cosas imposibles,7.7
Pure White,6.3
Desert Moon,5.5
Fear of Rain,5.9
One Moment,5.2
"Our Lady of San Juan, Four Centuries of Miracles",6.2
Roses. Film-Cabaret,8.3
Once a Year on Blackpool Sands,8.3
Mamma Moo Finds Her Way Home,6.8
12 O'Clock,3.1
Promises,5.3
Generation Wrecks,9.2
Engaged in Vegas,5.2
A Trip with Your Wife,6.2
Bad President,4.4
Sans soleil,5.2
Famous,6.1
Supercool,5.2
Gunpoint,3.3
Earwig,5.4
Bhuj: The Pride of India,4.6
Shadow,6.2
Lightships,7.1
Let Me Be Frank,7.1
Destination Marfa,4.7
I Am Here,8.0
A Bookshop in Paris,5.5
Indiana Jones and the Sanctuary of the Black Order,4.5
Twist,4.2
Realm of Terracotta,6.0
Apex Predators,1.5
The Stairs,4.5
Bhoot Police,7.0
Between Two Worlds,6.9
The Tragedy of Macbeth,7.1
False Positive,4.7
Manchurian Tiger,5.7
Home Sweet Home,5.4
Roohi,4.3
Animals,6.6
My Little Pony: A New Generation,6.8
Range Roads,6.2
Forest for the Trees,9.0
Happy Thanksgiving,7.5
Man vs Bigfoot,5.2
August Never Ends,4.8
Salt-N-Pepa,6.1
The Exorcism of Carmen Farias,3.9
Thunder Force,4.5
The Exchange,5.6
Let Me Be Me,7.8
Three Wishes for Cinderella,5.9
Bigger Than Us,6.8
Thalaivi,5.9
Cinderella,4.3
Reflection,6.0
Big Trouble in Seattle,5.8
Snow Black,2.5
DOMINO: Battle of the Bones,3.9
Witch Hunt,4.6
The Changed,3.5
Ditched,4.0
Shadow Parties,7.0
Pigeon's Milk,5.3
Oleg: The Oleg Vidov Story,8.2
Giving Birth to a Butterfly,7.4
Frankenstein,6.0
A Boy Called Christmas,6.7
Take Me to Tarzana,5.3
Barbarians,4.7
The Real Charlie Chaplin,7.3
Vera Dreams of the Sea,6.5
My True Fairytale,6.3
Highway One,5.5
Eugénie Grandet,6.3
North by Current,6.5
On the Divide,8.7
Shepherd,4.9
Woman in Car,4.6
The Gateway,4.8
Women in Blue,7.7
Bloody Nun 2: The Curse,1.5
Aavartan,8.6
Courageous Warriors Beauty from the Ashes,9.9
Royal Jelly,2.6
Madison Baker Was Here,6.7
616 Wilford Lane,3.9
